customer_id,customer_name,industry,region,company_size,signup_date,sales_channel
1,Jones-Cook,Manufacturing,EMEA,SMB,2024-01-16,Self-Service
2,Jones Group,Finance,APAC,Mid-Market,2025-06-03,Partner
3,Rios-Wilson,Retail,LATAM,Mid-Market,2024-05-19,Self-Service
4,Hall Group,Technology,LATAM,SMB,2023-10-11,Direct Sales
5,"Wright, Knight and Blair",Finance,EMEA,SMB,2024-12-08,Self-Service
6,Stark-King,Retail,EMEA,SMB,2024-11-17,Direct Sales
7,Gonzalez-Valdez,Retail,LATAM,Mid-Market,2023-11-14,Direct Sales
8,"Williams, Brooks and Carson",Technology,EMEA,SMB,2026-02-18,Direct Sales
9,Potter-Rollins,Finance,LATAM,SMB,2024-12-24,Direct Sales
10,"Stewart, Collier and Ellis",Manufacturing,EMEA,SMB,2025-06-25,Partner
11,"Williamson, Harvey and Hudson",Manufacturing,North America,Enterprise,2025-08-10,Partner
12,Wiggins Ltd,Manufacturing,North America,Mid-Market,2024-05-09,Partner
13,Weber LLC,Retail,LATAM,Enterprise,2024-10-28,Partner
14,"Morton, Scott and Bright",Retail,North America,SMB,2025-03-19,Direct Sales
15,"Chen, Brown and Wall",Technology,LATAM,SMB,2025-06-22,Self-Service
16,"Thomas, Dean and Benson",Technology,LATAM,Mid-Market,2024-04-11,Self-Service
17,Maldonado and Sons,Retail,EMEA,Mid-Market,2025-09-21,Self-Service
18,"Norton, Wright and Jones",Retail,EMEA,Enterprise,2023-12-05,Partner
19,Morton-Dawson,Manufacturing,North America,Mid-Market,2025-10-05,Self-Service
20,"Velasquez, Schwartz and Little",Technology,North America,SMB,2023-06-11,Partner
21,Wagner Inc,Finance,APAC,Mid-Market,2025-10-09,Partner
22,Graham-Smith,Technology,LATAM,SMB,2024-08-23,Direct Sales
23,"Wright, Wells and Brown",Healthcare,LATAM,Mid-Market,2024-11-06,Self-Service
24,Baker-Reyes,Finance,LATAM,Enterprise,2024-08-19,Self-Service
25,Fletcher Inc,Manufacturing,EMEA,Mid-Market,2025-10-07,Self-Service
26,James PLC,Healthcare,LATAM,SMB,2023-06-25,Self-Service
27,Bradley-Page,Manufacturing,EMEA,Mid-Market,2024-06-17,Direct Sales
28,Ward-Lutz,Retail,North America,Mid-Market,2024-02-11,Partner
29,Johnson-Marsh,Retail,EMEA,SMB,2024-12-09,Direct Sales
30,"Carrillo, Decker and Stone",Retail,North America,Mid-Market,2023-06-07,Direct Sales
31,Joseph Group,Retail,APAC,Mid-Market,2024-07-14,Direct Sales
32,"Warner, Russell and Olson",Manufacturing,LATAM,Enterprise,2025-11-13,Direct Sales
33,Richardson-Mayo,Finance,North America,Mid-Market,2024-07-05,Partner
34,Williams-Bishop,Healthcare,APAC,SMB,2026-01-22,Partner
35,"Walters, Johnson and Brooks",Manufacturing,APAC,Enterprise,2023-10-20,Partner
36,Howard Ltd,Technology,LATAM,Mid-Market,2025-01-18,Partner
