date,customer_id,product_line,arr,mrr,bookings,expansion_revenue,contraction_revenue,churned_revenue,new_business_revenue,renewal_revenue
2023-01-01,1,Core Platform,44487,3707.25,41018,11126,7890,0,9984,27562
2023-01-01,2,Analytics,85311,7109.25,40654,6779,9718,0,315,34680
2023-01-01,3,AI Suite,25758,2146.5,44275,18338,8763,0,27190,31662
2023-01-01,4,Analytics,134555,11212.92,10860,13860,1277,0,27245,1887
2023-01-01,5,Enterprise,56054,4671.17,9315,5372,3410,0,1719,17
2023-01-01,6,Security,106811,8900.92,3508,2836,6797,0,26819,7929
2023-01-01,7,Enterprise,83275,6939.58,18244,18293,1382,0,28456,39366
2023-01-01,8,Analytics,40477,3373.08,47900,19684,3534,0,17634,37380
2023-01-01,9,Core Platform,59066,4922.17,36065,17947,3724,0,1441,6626
2023-01-01,10,Analytics,101075,8422.92,40534,17632,9784,0,28683,14792
2023-01-01,11,Security,9503,791.92,26979,8377,9947,0,3666,13105
2023-01-01,12,AI Suite,97674,8139.5,33772,16945,7106,0,20348,26944
2023-01-01,13,Analytics,133457,11121.42,44632,5427,2884,0,18844,26730
2023-01-01,14,AI Suite,125499,10458.25,28865,9723,6606,0,25667,16509
2023-01-01,15,Security,1917,159.75,21946,5908,3991,34433,16488,902
2023-01-01,16,AI Suite,58717,4893.08,21696,8820,6145,0,29355,14813
2023-01-01,17,Core Platform,100373,8364.42,43601,6120,5738,0,21045,29175
2023-01-01,18,Security,90133,7511.08,45204,10240,7540,0,572,20417
2023-01-01,19,Analytics,21447,1787.25,44262,15421,7490,0,5421,15139
2023-01-01,20,Enterprise,107332,8944.33,17985,2028,9966,0,23969,3447
2023-01-01,21,AI Suite,42152,3512.67,13678,6542,2772,0,9238,23879
2023-01-01,22,Security,28244,2353.67,39809,9646,5461,0,1163,2123
2023-01-01,23,Core Platform,148877,12406.42,5067,5331,1599,0,27555,37713
2023-01-01,24,Enterprise,109683,9140.25,45863,16371,6998,0,27991,37687
2023-01-01,25,Security,101872,8489.33,35306,1899,8935,0,23050,16893
2023-01-01,26,Analytics,106624,8885.33,24412,11853,3953,0,9204,6925
2023-01-01,27,AI Suite,48495,4041.25,44764,8168,8044,0,26525,923
2023-01-01,28,Enterprise,73125,6093.75,39844,5986,8611,0,26698,13862
2023-01-01,29,Core Platform,118946,9912.17,18099,18698,183,0,5551,11650
2023-01-01,30,Analytics,7751,645.92,23496,8335,584,73943,19607,36424
2023-01-01,31,AI Suite,29986,2498.83,25481,10868,1430,0,12813,4885
2023-01-01,32,Analytics,135868,11322.33,46186,17889,1696,0,21009,28874
2023-01-01,33,AI Suite,91626,7635.5,5627,9007,7130,0,23271,6924
2023-01-01,34,Security,72628,6052.33,15948,1479,7033,0,11204,24202
2023-01-01,35,Core Platform,89332,7444.33,16048,1075,9521,0,29896,19884
2023-01-01,36,Security,18584,1548.67,33754,17567,8845,0,21690,31422
2023-01-01,37,Analytics,162753,13562.75,25254,19471,6590,0,3296,576
2023-01-01,38,AI Suite,130246,10853.83,36273,17826,7832,0,23443,26662
