revenue_month,total_arr,total_mrr,total_bookings,expansion_revenue,contraction_revenue,churned_revenue,new_business_revenue,renewal_revenue
2023-01-01,41978191,3498182.570000001,12754164,5138402,2502965,592127,7277967,10185738
2023-02-01,39014921,3251243.43,12415811,4942104,2511587,1441316,7668710,10487678
2023-03-01,39868562,3322380.1799999997,12447389,4941322,2567509,1484987,7420438,9981789
2023-04-01,40292836,3357736.339999999,13142312,4929487,2535754,1199120,7127645,9931136
2023-05-01,40889049,3407420.84,13283370,5121291,2452946,1228313,7492922,10432309
2023-06-01,40825560,3402130.0199999986,13237980,5078969,2603224,926935,7310320,10374017
2023-07-01,38993817,3249484.7100000004,12516994,5127462,2676234,1345192,7704489,10362356
2023-08-01,40023699,3335308.24,12001514,4680886,2452307,1271453,7427101,10275102
2023-09-01,38276288,3189690.6700000004,12607467,4583867,2473069,1017494,7568840,10055041
2023-10-01,39127955,3260662.9799999995,12394804,5048272,2529744,1327475,7783821,9702772
2023-11-01,40435691,3369640.9900000007,12386234,5019096,2584999,955262,7627260,9988246
2023-12-01,40317440,3359786.689999999,13019404,4853792,2511367,1141675,7248271,10391707
2024-01-01,40291636,3357636.3200000008,12925758,4829491,2446964,1312495,7685253,9622632
2024-02-01,40553584,3379465.3499999996,12504070,5227967,2502102,1358881,7398247,10207138
2024-03-01,39250998,3270916.4999999995,12416893,4827621,2476696,1668884,7611899,10280072
2024-04-01,40484351,3373695.929999999,12671922,4901950,2488261,1158327,7458740,9677068
2024-05-01,40502154,3375179.579999999,12432838,5047884,2638063,1144448,7302836,9782286
2024-06-01,40348709,3362392.4399999995,12379590,4952614,2550493,1272037,7571929,10361549
2024-07-01,39976840,3331403.339999999,12550647,5144517,2439576,1340915,7248348,9890133
2024-08-01,40408622,3367385.170000001,12268214,5034580,2400582,1111782,7601588,9768676
2024-09-01,40184908,3348742.3,12670067,4843026,2595509,1106347,7622031,10148449
2024-10-01,39926198,3327183.190000002,12876225,4988327,2366140,1956425,7547283,10144036
2024-11-01,40860381,3405031.8,12888356,4918058,2455139,616609,7495417,9972249
2024-12-01,40384499,3365374.939999999,12899531,5213518,2636629,568663,7707678,9716814
